dia,mes,logradouro,cidade,uf
1,1,Rua Primeiro de Janeiro,Feijó,AC
1,1,Rua 1º de Janeiro,Rio Branco,AC
1,1,Travessa 1 de Janeiro,Rio Branco,AC
1,1,Rua Primeiro de Janeiro,Girau do Ponciano,AL
1,1,Rua 1 de Janeiro,Itacoatiara,AM
1,1,Rua 1 de Janeiro,Manaus,AM
1,1,Rua 1º de Janeiro,Manaus,AM
1,1,Rua Primeiro de Janeiro,Parintins,AM
1,1,Rua Primeiro de Janeiro,Macapá,AP
1,1,Rua Primeiro de Janeiro,Belo Campo,BA
1,1,Rua 1 de Janeiro,Campo Alegre de Lourdes,BA
1,1,R. Primeiro de Janeiro,Dias d'Ávila,BA
1,1,Rua 1º de Janeiro,Eunápolis,BA
1,1,Travessa Primeiro de Janeiro,Ilhéus,BA
1,1,1 de Janeiro,Lamarão,BA
1,1,Primeiro de Janeiro,Matina,BA
1,1,1ª Travessa 1º de Janeiro,Salvador,BA
1,1,1ª Travessa Primeiro de Janeiro,Salvador,BA
1,1,2ª Travessa 1º de janeiro,Salvador,BA
1,1,2ª Travessa Primeiro de Janeiro,Salvador,BA
1,1,Avenida 1º de Janeiro,Salvador,BA
1,1,Avenida Primeiro de Janeiro,Salvador,BA
1,1,Rua 1º de Janeiro,Salvador,BA
1,1,Rua Primeiro de Janeiro,Salvador,BA
1,1,Travessa 1º de Janeiro,Salvador,BA
1,1,Travessa Primeiro de Janeiro,Salvador,BA
1,1,Rua Primeiro de Janeiro,Simões Filho,BA
1,1,1 de Janeiro,São Gabriel,BA
1,1,Rua 1 de Janeiro,Várzea Nova,BA
1,1,Avenida Várzea do Poço / Rua 1 de Janeiro,Várzea do Poço,BA
1,1,Rua Primeiro de Janeiro,Caucaia,CE
1,1,Rua Primeiro de Janeiro,Fortaleza,CE
1,1,Rua Primeiro de Janeiro,Horizonte,CE
1,1,Rua Primeiro de Janeiro,Icó,CE
1,1,Rua Primeiro de Janeiro,Itarema,CE
1,1,Rua Primeiro de Janeiro,Paracuru,CE
1,1,Rua Primeiro de Janeiro,Sobral,CE
1,1,Rua 1º de Janeiro,Guarapari,ES
1,1,Rua Primeiro de Janeiro,Linhares,ES
1,1,Rua 1º de Janeiro,Aparecida de Goiânia,GO
1,1,01 de janeiro,Campinaçu,GO
1,1,Rua 1 de Janeiro,Edéia,GO
1,1,Rua 1º de Janeiro,Goiânia,GO
1,1,Rua Primeiro de Janeiro,Goiânia,GO
1,1,Rua 1 de Janeiro,Inhumas,GO
1,1,1 de janeiro,Mossâmedes,GO
1,1,Rua 1 de Janeiro,Nova Crixás,GO
1,1,Rua 01 de Janeiro,Nova Iguaçu de Goiás,GO
1,1,TRAVESSA 1 DE JANEIRO,Quirinópolis,GO
1,1,Rua 01 de Janeiro,Taquaral de Goiás,GO
1,1,Rua Primeiro de Janeiro,Aldeias Altas,MA
1,1,Primeiro de Janeiro,Belágua,MA
1,1,Segunda Travessa da Primeiro de Janeiro,Belágua,MA
1,1,Terceira Travessa da Primeiro de Janeiro,Belágua,MA
1,1,Travessa Primeiro de Janeiro,Belágua,MA
1,1,Travessa Primeiro de Janeiro,Carutapera,MA
1,1,Primeiro de Janeiro,Imperatriz,MA
1,1,Primeiro de Janeiro,Poção de Pedras,MA
1,1,Rua Primeiro de Janeiro,Sucupira do Norte,MA
1,1,Travessa Primeiro de Janeiro,São Domingos do Maranhão,MA
1,1,Rua Primeiro de Janeiro,São Luís,MA
1,1,Travessa Primeiro de Janeiro,São Luís,MA
1,1,Avenida Primeiro de Janeiro,Araújos,MG
1,1,Rua Primeiro de Janeiro,Barra Longa,MG
1,1,Rua Primeiro de Janeiro,Betim,MG
1,1,Rua Primeiro de Janeiro,Dionísio,MG
1,1,Primeiro de Janeiro,Formoso,MG
1,1,Rua Primeiro de Janeiro,Governador Valadares,MG
1,1,Rua 1 de janeiro,Guaraciaba,MG
1,1,Rua Primeiro de Janeiro,Iturama,MG
1,1,Rua Primeiro de Janeiro,Itutinga,MG
1,1,Rua Primeiro de Janeiro,Machacalis,MG
1,1,Rua Primeiro de Janeiro,Matozinhos,MG
1,1,Rua Primeiro de Janeiro,Medina,MG
1,1,Rua Primeiro de Janeiro,Moeda,MG
1,1,Rua Primeiro de Janeiro,Nova Serrana,MG
1,1,Rua Primeiro de Janeiro,Oliveira,MG
1,1,Rua Um de Janeiro,Olímpio Noronha,MG
1,1,Rua Primeiro de Janeiro,Ouro Preto,MG
1,1,Avenida Primeiro de Janeiro,Pains,MG
1,1,Rua Primeiro de Janeiro,Paraguaçu,MG
1,1,Rua Primeiro de Janeiro,Pimenta,MG
1,1,Rua Primeiro de Janeiro,Pirapetinga,MG
1,1,Praça Primeiro de Janeiro,Poté,MG
1,1,Rua Primeiro de Janeiro,Santa Cruz de Minas,MG
1,1,Rua Primeiro de Janeiro,São Roque de Minas,MG
1,1,Rua Primeiro de Janeiro,Timóteo,MG
1,1,Rua Primeiro de Janeiro,Uberlândia,MG
1,1,Rua Primeiro de Janeiro,Vazante,MG
1,1,Rua 1 de Janeiro,Bonito,MS
1,1,Rua Primeiro de Janeiro,Altamira,PA
1,1,Rua Primeiro de Janeiro,Ananindeua,PA
1,1,Rua Primeiro de Janeiro,Barcarena,PA
1,1,Rua Primeiro de Janeiro,Belém,PA
1,1,Passagem Primeiro de Janeiro,Benevides,PA
1,1,Rua 1 de Janeiro,Brasil Novo,PA
1,1,Rua Primeiro de Janeiro,Breu Branco,PA
1,1,Primeiro de Janeiro,Castanhal,PA
1,1,Rua Primeiro de Janeiro,Marituba,PA
1,1,Rua Um de Janeiro,Mãe do Rio,PA
1,1,Avenida Um de Janeiro,Ourilândia do Norte,PA
1,1,Travessa Primeiro de Janeiro,Portel,PA
1,1,Avenida Primeiro de Janeiro,Tomé-Açu,PA
1,1,Passagem Comandante Pinto ou Primeiro de Janeiro,Tomé-Açu,PA
1,1,Rua Primeiro de Janeiro,Tomé-Açu,PA
1,1,Travessa Primeiro de Janeiro,Tomé-Açu,PA
1,1,Rua 1 de Janeiro,Óbidos,PA
1,1,Rua Primeiro de Janeiro,São Miguel de Taipu,PB
1,1,r. Primeiro de Janeiro,Aliança,PE
1,1,Rua Primeiro de Janeiro,Arcoverde,PE
1,1,Rua Primeiro de Janeiro,Belo Jardim,PE
1,1,Primeiro de Janeiro,Cabo de Santo Agostinho,PE
1,1,1ª Travessa Primeiro de Janeiro,Gravatá,PE
1,1,Rua Primeiro de Janeiro,Gravatá,PE
1,1,primeiro de janeiro,Jurema,PE
1,1,Rua primeiro de janeiro,Lagoa dos Gatos,PE
1,1,Rua Primeiro de Janeiro,Olinda,PE
1,1,Rua Primeiro de Janeiro,Paulista,PE
1,1,Rua Primeiro de Janeiro,Recife,PE
1,1,Travessa Primeiro de Janeiro,Recife,PE
1,1,Primeiro de Janeiro,Barra D'Alcântara,PI
1,1,Rua Primeiro de Janeiro,Buriti dos Lopes,PI
1,1,Rua Primeiro de Janeiro,Cocal,PI
1,1,Rua Primeiro de Janeiro,Ipiranga do Piauí,PI
1,1,Rua Primeiro de Janeiro,João Costa,PI
1,1,Rua Primeiro de Janeiro,Pau D'Arco do Piauí,PI
1,1,Rua Primeiro de Janeiro,Cambé,PR
1,1,Rua Primeiro de Janeiro,Colombo,PR
1,1,Rua Primeiro de Janeiro,Palotina,PR
1,1,Rua Primeiro de Janeiro,Santo Antônio da Platina,PR
1,1,Rua Primeiro de Janeiro,Toledo,PR
1,1,Rua Primeiro de Janeiro,Tupãssi,PR
1,1,Rua Primeiro de Janeiro,Belford Roxo,RJ
1,1,Rua Primeiro de Janeiro,Duque de Caxias,RJ
1,1,Rua Primeiro de Janeiro,Magé,RJ
1,1,Rua Primeiro de Janeiro,Maricá,RJ
1,1,Rua Primeiro de Janeiro,Nova Iguaçu,RJ
1,1,Travessa Primeiro de Janeiro,Nova Iguaçu,RJ
1,1,Rua Primeiro de Janeiro,Rio de Janeiro,RJ
1,1,Rua Primeiro de Janeiro,Tanguá,RJ
1,1,Rua Primeiro de Janeiro,Natal,RN
1,1,Travessa 1º de Janeiro,Natal,RN
1,1,Rua Primeiro de Janeiro,Parnamirim,RN
1,1,Rua Primeiro de Janeiro,Canela,RS
1,1,Rua Primeiro de Janeiro,Cruz Alta,RS
1,1,Rua Primeiro de Janeiro,Dom Feliciano,RS
1,1,Rua Primeiro de Janeiro,Gravataí,RS
1,1,Rua 1 de Janeiro,Igrejinha,RS
1,1,Rua Primeiro de Janeiro,Lindolfo Collor,RS
1,1,Avenida Primeiro de Janeiro,Paraíso do Sul,RS
1,1,Rua Primeiro de Janeiro,Porto Alegre,RS
1,1,Prolongamento 1 de Janeiro,São Gabriel,RS
1,1,Rua Primeiro de Janeiro,São Gabriel,RS
1,1,Travessa Primeiro de Janeiro,São Gabriel,RS
1,1,Rua Primeiro de Janeiro,Viamão,RS
1,1,Rua Primeiro de Janeiro,Blumenau,SC
1,1,Rua Primeiro de Janeiro,Brusque,SC
1,1,Rua 1º de Janeiro,Gaspar,SC
1,1,Primeiro de Janeiro,Herval d'Oeste,SC
1,1,Rua 1 de Janeiro,Indaial,SC
1,1,Rua Primeiro de Janeiro,Itapiranga,SC
1,1,Servidão Primeiro de Janeiro,Joinville,SC
1,1,Rua Primeiro de Janeiro,Mafra,SC
1,1,Rua Primeiro de Janeiro,São Miguel do Oeste,SC
1,1,Rua 1 de Janeiro,Nossa Senhora do Socorro,SE
1,1,Rua 1 de Janeiro,Artur Nogueira,SP
1,1,Avenida 1º de Janeiro,Barretos,SP
1,1,Rua Primeiro de Janeiro,Borá,SP
1,1,Rua Primeiro de Janeiro,Colina,SP
1,1,1° de Janeiro,Diadema,SP
1,1,Passagem Primeiro de Janeiro,Diadema,SP
1,1,Rua Primeiro de Janeiro,Francisco Morato,SP
1,1,Rua Primeiro de Janeiro,Ilha Comprida,SP
1,1,Rua 1 de Janeiro,Lavínia,SP
1,1,Rua Primeiro de Janeiro,Limeira,SP
1,1,Rua Primeiro de Janeiro,Mogi Mirim,SP
1,1,Rua Primeiro de Janeiro,Nova Odessa,SP
1,1,Rua Primeiro de Janeiro,Osasco,SP
1,1,Rua Primeiro de Janeiro,Pradópolis,SP
1,1,Rua Primeiro de Janeiro,Praia Grande,SP
1,1,Rua Primeiro de Janeiro,São Paulo,SP
1,1,Rua Primeiro de Janeiro,Taboão da Serra,SP
1,1,R. Primeiro de Janeiro,Tremembé,SP
1,1,Avenida Primeiro de Janeiro,Araguaína,TO
1,1,Rua 1º de Janeiro,Araguaína,TO
1,1,Rua Primeiro de Janeiro,Araguaína,TO
1,1,Rua Primeiro de Janeiro,Piraquê,TO
